City	City	# of flights	distance
ABILENE	DALLAS/FORT WORTH	81	181
AMARILLO	DALLAS/FORT WORTH	84	361
AMARILLO	HOUSTON	51	596
AUSTIN	DALLAS/FORT WORTH	198	192
AUSTIN	EL PASO	62	573
AUSTIN	HOUSTON	372	162
BROWNSVILLE	DALLAS/FORT WORTH	76	550
BROWNSVILLE	HOUSTON	109	355
COLLEGE STATION/BRYAN	DALLAS/FORT WORTH	88	181
COLLEGE STATION/BRYAN	HOUSTON	63	97
CORPUS CHRISTI	DALLAS/FORT WORTH	103	377
CORPUS CHRISTI	HOUSTON	172	207
DALLAS/FORT WORTH	EL PASO	156	617
DALLAS/FORT WORTH	HOUSTON	673	238
DALLAS/FORT WORTH	KILLEEN	124	154
DALLAS/FORT WORTH	LAREDO	128	429
DALLAS/FORT WORTH	LONGVIEW	58	128
DALLAS/FORT WORTH	LUBBOCK	165	322
DALLAS/FORT WORTH	MIDLAND/ODESSA	90	347
DALLAS/FORT WORTH	MISSION/MCALLEN/EDINBURG	106	506
DALLAS/FORT WORTH	SAN ANGELO	54	252
DALLAS/FORT WORTH	SAN ANTONIO	229	271
DALLAS/FORT WORTH	WACO	57	91
DALLAS/FORT WORTH	WICHITA FALLS	57	141
EL PASO	HOUSTON	207	730
EL PASO	SAN ANTONIO	52	548
HARLINGEN/SAN BENITO	HOUSTON	155	329
HOUSTON	LUBBOCK	80	535
HOUSTON	MIDLAND/ODESSA	247	494
HOUSTON	MISSION/MCALLEN/EDINBURG	180	346
HOUSTON	SAN ANTONIO	381	197
LAREDO	SAN ANTONIO	67	157
LUBBOCK	MIDLAND/ODESSA	70	137
